Parameter Name,Level Type,Level,Valid Date,Valid Time,Values Min,Values Max
Temperature,sfc,2,20230818,1500,275.0256652832031,9999.0
Temperature,sfc,2,20230818,1600,275.0618896484375,9999.0
Temperature,sfc,2,20230818,1700,275.4995422363281,9999.0
Temperature,sfc,2,20230818,1800,274.7070617675781,9999.0
Temperature,sfc,2,20230818,1900,274.7270202636719,9999.0
Temperature,sfc,2,20230818,2000,274.5518798828125,9999.0
Temperature,sfc,2,20230818,2100,274.3700256347656,9999.0
Temperature,sfc,2,20230818,2200,274.404541015625,9999.0
Temperature,sfc,2,20230818,2300,274.2669982910156,9999.0
Temperature,sfc,2,20230819,0,274.0972900390625,9999.0
Temperature,sfc,2,20230819,100,273.9764099121094,9999.0
Temperature,sfc,2,20230819,200,274.0279235839844,9999.0
Temperature,sfc,2,20230819,300,273.8955383300781,9999.0
Temperature,sfc,2,20230819,400,274.0745849609375,9999.0
Temperature,sfc,2,20230819,500,274.02001953125,9999.0
Temperature,sfc,2,20230819,600,274.13604736328125,9999.0
Temperature,sfc,2,20230819,700,274.6601867675781,9999.0
Temperature,sfc,2,20230819,800,275.2129211425781,9999.0
Temperature,sfc,2,20230819,900,275.2151184082031,9999.0
Temperature,sfc,2,20230819,1000,275.5830993652344,9999.0
Temperature,sfc,2,20230819,1100,275.85430908203125,9999.0
Temperature,sfc,2,20230819,1200,275.9237060546875,9999.0
Temperature,sfc,2,20230819,1300,276.01885986328125,9999.0
Temperature,sfc,2,20230819,1400,276.0159606933594,9999.0
Temperature,sfc,2,20230819,1500,275.87396240234375,9999.0
Temperature,sfc,2,20230819,1600,275.795654296875,9999.0
Temperature,sfc,2,20230819,1700,275.9914855957031,9999.0
Temperature,sfc,2,20230819,1800,275.6444396972656,9999.0
Temperature,sfc,2,20230819,1900,275.3810119628906,9999.0
Temperature,sfc,2,20230819,2000,275.4489440917969,9999.0
Temperature,sfc,2,20230819,2100,275.7204895019531,9999.0
Temperature,sfc,2,20230819,2200,275.6288146972656,9999.0
Temperature,sfc,2,20230819,2300,275.46978759765625,9999.0
Temperature,sfc,2,20230820,0,275.3333740234375,9999.0
Temperature,sfc,2,20230820,100,275.1579895019531,9999.0
Temperature,sfc,2,20230820,200,275.0133056640625,9999.0
Temperature,sfc,2,20230820,300,274.8805236816406,9999.0
Temperature,sfc,2,20230820,400,274.7627258300781,9999.0
Temperature,sfc,2,20230820,500,274.46002197265625,9999.0
Temperature,sfc,2,20230820,600,274.6222229003906,9999.0
Temperature,sfc,2,20230820,700,275.08599853515625,9999.0
Temperature,sfc,2,20230820,800,275.8589172363281,9999.0
Temperature,sfc,2,20230820,900,276.02508544921875,9999.0
Temperature,sfc,2,20230820,1000,276.3093566894531,9999.0
Temperature,sfc,2,20230820,1100,276.38922119140625,9999.0
Temperature,sfc,2,20230820,1200,276.66455078125,9999.0
Temperature,sfc,2,20230820,1300,276.553466796875,9999.0
Temperature,sfc,2,20230820,1400,276.6769104003906,9999.0
