Station,Temperature,Valid_UTC
Auto_BABNO POLJE,12.7,21.10.2023 17:10 UTC
Auto_NOVA GORICA BILJE,17.7,21.10.2023 17:10 UTC
Auto_BLEGOS,10.5,21.10.2023 17:10 UTC
Auto_BOHINJSKA CESNJICA,13.5,21.10.2023 17:10 UTC
Auto_BORST PRI GORENJI VASI,14.6,21.10.2023 17:10 UTC
Auto_BOVEC,15.2,21.10.2023 17:00 UTC
Auto_BREGINJ,14,21.10.2023 17:10 UTC
Auto_BUKOVSKI VRH,12.9,21.10.2023 17:10 UTC
Auto_CELJE-MEDLOG,18.4,21.10.2023 17:00 UTC
Auto_CERKNISKO JEZERO,13.6,21.10.2023 17:10 UTC
Auto_DAVCA,12.1,21.10.2023 17:10 UTC
Auto_CRNOMELJ,17.5,21.10.2023 17:00 UTC
Auto_AJDOVSCINA - DOLENJE,16.1,21.10.2023 17:00 UTC
Auto_GACNIK,17.7,21.10.2023 17:10 UTC
Auto_GODNJE,15.8,21.10.2023 17:10 UTC
Auto_GORNJI GRAD,14.7,21.10.2023 17:10 UTC
Auto_HOČKO POHORJE,15.4,21.10.2023 17:10 UTC
Auto_HRASTNIK,16.5,21.10.2023 17:10 UTC
Auto_IDRIJA - CISTILNA NAPRAVA,15.2,21.10.2023 17:10 UTC
Auto_ILIRSKA BISTRICA,15.6,21.10.2023 17:00 UTC
Auto_ISKRBA,14.5,21.10.2023 17:10 UTC
Auto_JERONIM,13.7,21.10.2023 17:10 UTC
Auto_JERUZALEM,15.9,21.10.2023 17:10 UTC
Auto_JEZERSKO,11.3,21.10.2023 17:10 UTC
Auto_KAMNISKA BISTRICA,14,21.10.2023 17:10 UTC
Auto_KANIN,3.5,21.10.2023 17:10 UTC
Auto_KOCEVJE,14.9,21.10.2023 17:10 UTC
Auto_KOPER - KAPETANIJA,20.1,21.10.2023 17:00 UTC
Auto_KORENSKO SEDLO,10.8,21.10.2023 17:10 UTC
Auto_GORICKO KRAJINSKI PARK,16,21.10.2023 17:00 UTC
Auto_KRANJ,16.6,21.10.2023 17:10 UTC
Auto_KREDARICA,2.1,21.10.2023 17:10 UTC
Auto_KRN,13,21.10.2023 17:10 UTC
Auto_KRSKO - NEK,17.4,21.10.2023 17:00 UTC
Auto_KRVAVEC,7.4,21.10.2023 17:10 UTC
Auto_KUBED,15.4,21.10.2023 17:10 UTC
Auto_KUM,10.6,21.10.2023 17:10 UTC
Auto_LENDAVA,16.6,21.10.2023 17:00 UTC
Auto_CERKLJE - LETALISCE,17.7,21.10.2023 17:00 UTC
Auto_MARIBOR/SLIVNICA,18,21.10.2023 17:00 UTC
Auto_LJUBLJANA/BRNIK,15.7,21.10.2023 17:10 UTC
Auto_LESCE,15.7,21.10.2023 17:00 UTC
Auto_PORTOROZ/SECOVLJE,18.4,21.10.2023 17:00 UTC
Auto_LISCA,12.3,21.10.2023 17:10 UTC
Auto_LITIJA - GRBIN,16.2,21.10.2023 17:10 UTC
Auto_LJUBLJANA/BEZIGRAD,17.2,21.10.2023 17:10 UTC
Auto_LOGARSKA DOLINA,13,21.10.2023 17:10 UTC
Auto_LOGATEC,13.9,21.10.2023 17:10 UTC
Auto_KOPER - LUKA,19,21.10.2023 17:00 UTC
Auto_MALKOVEC,17,21.10.2023 17:00 UTC
Auto_MARIBOR/VRBANSKI PLATO,18.2,21.10.2023 17:10 UTC
Auto_MARINCA VAS,15.8,21.10.2023 17:10 UTC
Auto_METLIKA,17.1,21.10.2023 17:10 UTC
Auto_MEŽICA,13.9,21.10.2023 17:10 UTC
Auto_MIKLAVz NA GORJANCIH,12.4,21.10.2023 17:10 UTC
Auto_MURSKA SOBOTA,17.3,21.10.2023 17:10 UTC
Auto_NANOS,10.8,21.10.2023 17:10 UTC
Auto_NOVA GORICA,18.6,21.10.2023 17:10 UTC
Auto_NOVA VAS - BLOKE,13.3,21.10.2023 17:10 UTC
Auto_NOVO MESTO,17.2,21.10.2023 17:10 UTC
Auto_OSILNICA,15.5,21.10.2023 17:10 UTC
Auto_OTLICA,11.8,21.10.2023 17:10 UTC
Auto_SKOCJAN,15.3,21.10.2023 17:00 UTC
Auto_PASJA RAVAN,12.2,21.10.2023 17:10 UTC
Auto_PAVLICEVO SEDLO,10,21.10.2023 17:10 UTC
Auto_PLANINA POD GOLICO,12.2,21.10.2023 17:10 UTC
Auto_PODCETRTEK - ATOMSKE TOPLICE,17,21.10.2023 17:00 UTC
Auto_PODNANOS,15.5,21.10.2023 17:10 UTC
Auto_POSTOJNA,14.1,21.10.2023 17:10 UTC
Auto_PREDEL,10.8,21.10.2023 17:10 UTC
Auto_PTUJ,17.4,21.10.2023 17:10 UTC
Auto_RADEGUNDA,14,21.10.2023 17:10 UTC
Auto_RATECE,12.4,21.10.2023 17:00 UTC
Auto_RATITOVEC,7.8,21.10.2023 17:10 UTC
Auto_RAVNE NA KOROSKEM,14.8,21.10.2023 17:00 UTC
Auto_ROGASKA SLATINA,16.5,21.10.2023 17:10 UTC
Auto_ROGLA,9.5,21.10.2023 17:10 UTC
Auto_RUDNO POLJE,9.6,21.10.2023 17:10 UTC
Auto_SEVNO,15.7,21.10.2023 17:10 UTC
Auto_SLAVNIK,11.9,21.10.2023 17:10 UTC
Auto_SLOVENSKE KONJICE,17.1,21.10.2023 17:10 UTC
Auto_TRIJE KRALJI NA POHORJU,11.6,21.10.2023 17:10 UTC
Auto_SVISCAKI,9.7,21.10.2023 17:10 UTC
Auto_SEBRELJSKI VRH,11.8,21.10.2023 17:10 UTC
Auto_SLOVENJ GRADEC,16.3,21.10.2023 17:10 UTC
Auto_TATRE,13.4,21.10.2023 17:10 UTC
Auto_TOLMIN-VOLCE,16.2,21.10.2023 17:10 UTC
Auto_TOPOL,14.2,21.10.2023 17:10 UTC
Auto_TRBOVLJE,16.3,21.10.2023 17:10 UTC
Auto_TREBNJE,17,21.10.2023 17:10 UTC
Auto_TROJANE-LIMOVCE,14.6,21.10.2023 17:10 UTC
Auto_URSLJA GORA,7.7,21.10.2023 17:10 UTC
Auto_VEDRIJAN,17.5,21.10.2023 17:10 UTC
Auto_VELENJE,16.7,21.10.2023 17:10 UTC
