domain_title,t,td,tavg,tx,tn,rh,rhavg,dd_val,ddavg_val,ddmax_val,ff_val,ffavg_val,ffmax_val,msl,mslavg,p,pavg,rr_val,snow,tp_1h_acc,tp_12h_acc,tp_24h_acc,tw,gSunRad,gSunRadavg,diffSunRad,diffSunRadavg,vis_val,t_5_cm,tavg_5_cm,tg_5_cm,tgavg_5_cm,tg_10_cm,tgavg_10_cm,tg_20_cm,tgavg_20_cm,tg_30_cm,tgavg_30_cm,tg_50_cm,tgavg_50_cm,hhs1_val,ns1_val,hhs2_val,ns2_val,hhs3_val,ns3_val,hhs4_val,ns4_val,rrHh,valid_UTC
BABNO POLJE,21.5,14.2,21.2,,,63,62,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
NOVA GORICA BILJE,24.7,14.5,24.7,,,53,53,120,120,54,0.97,0.97,1.81,1022.5,1022.5,1016,1016,0,,,0,,,559,556,116,110,48,,,21,20.8,19.4,19.3,18.6,18.5,19,19,19.8,19.8,,0,,0,,0,,0,11.10.2023 10:10 UTC
BOHINJSKA CESNJICA,18.6,12.6,18.4,,,68,68,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
BORST PRI GORENJI VASI,18.6,14.9,18.6,,,79,79,74,74,322,0.4,0.4,1.12,,,,,0,0,,0,,,566,562,92,92,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
BOVEC,20.4,12.8,19.8,20.4,19.5,62,60,195,199,197,0.8,0.7,2.3,1022.5,1022.8,971.9,972,0,,0,0,,,588,574,,,,,,16,15.8,15.7,15.7,,,16.2,16.2,,,,,,,,,,,11.10.2023 10:00 UTC
BREGINJ,20.8,13.3,20.4,,,62,63,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
BUKOVSKI VRH,19.8,13.7,20.1,,,68,69,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
CELJE-MEDLOG,19.8,12.8,19.8,20.3,19.4,64,67,274,248,239,1.1,0.9,2.1,1022.8,1022.9,994.6,994.7,0,,0,0,,,547,546,,,,,,15.7,15.5,15.9,15.9,,,16.4,16.5,,,,,,,,,,,11.10.2023 10:00 UTC
CERKNISKO JEZERO,19.8,11.8,19.8,,,60,64,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
DAVCA,19.9,10.1,19.9,,,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
CRNOMELJ,20.9,14.4,20.3,21,19.6,66,70,5,47,107,0.5,0.5,1.7,1023.7,1023.7,1005.3,1005.3,0,,0,0,,,582,563,,,,,,17.8,17.7,17.8,17.7,,,18.5,18.5,,,,,,,,,,,11.10.2023 10:00 UTC
AJDOVSCINA - DOLENJE,25.4,15.4,24.8,25.4,23.7,54,57,92,151,141,0.3,0.2,1,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
GACNIK,20.9,14.1,20.7,,,65,64,162,162,138,1.68,1.68,3.34,,,,,0,,,0,,,568,569,147,146,,,,19.5,19.4,16.5,16.4,16.3,16.3,16.8,16.8,17.7,17.7,,,,,,,,,11.10.2023 10:10 UTC
GODNJE,25.1,13,25.5,,,47,48,143,143,136,0.96,0.96,2.42,,,,,0,0,,0,,,593,591,123,124,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
GORNJI GRAD,19.9,12.2,19.8,,,61,62,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
HOČKO POHORJE,19.8,14,19.9,,,69,69,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
HRASTNIK,20.7,14.6,20.6,,,68,68,164,164,,0.76,0.76,2.19,,,,,0,,,0,,,554,537,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
IDRIJA - CISTILNA NAPRAVA,20.7,14.4,20.4,,,67,68,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ILIRSKA BISTRICA,19.4,12.3,19,19.5,18.2,64,72,43,62,17,0.9,0.6,1.4,,,,,0,,0,0,,,564,549,,,,,,16.3,16.2,16.2,16.2,,,16.7,16.7,,,,,,,,,,,11.10.2023 10:00 UTC
ISKRBA,19.7,14.9,19.4,,,74,72,69,69,112,0.85,0.85,2.44,,,,,0,0,,0,,,584,562,98,100,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
JERONIM,19.6,13.8,19.6,,,69,69,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
JERUZALEM,21.3,14.7,21.2,,,66,66,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
JEZERSKO,20.4,7.4,19.9,,,43,46,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KAMNISKA BISTRICA,16.5,13.2,16.4,,,81,80,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KANIN,11.1,3.4,11.1,,,59,58,165,165,189,1.43,1.43,2.98,,,,,0,0,,0,,,611,609,72,71,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KOCEVJE,16.4,14.1,16.4,,,86,87,326,326,333,1.62,1.62,3.88,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KOPER - KAPETANIJA,22.7,18.1,22.7,22.8,22.6,76,78,273,275,271,2.3,2.1,3.2,1022.7,1022.7,1022.3,1022.3,,,,,,23.2,600,582,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
KORENSKO SEDLO,17.2,10.8,17,,,66,66,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
GORICKO KRAJINSKI PARK,16.9,12.7,16.5,17.2,15.9,76,79,156,162,171,4.2,4.2,5.6,,,,,0,,0,0,,,594,577,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
KRANJ,18.1,12.8,18,,,71,71,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KREDARICA,9.8,-3.1,9.8,,,40,39,273,273,249,7.07,7.07,11.9,,,760.1,760.1,0,,,0,,,660,656,79,78,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
