Station,Latitude,Longitude,Altitude
auto_babno_polje,45.6452,14.5449,756
auto_nova_gorica_bilje,45.8956,13.624,55
auto_blegos,46.1675,14.0816,1188
auto_bohinjska_cesnjica,46.2942,13.9422,596
auto_borst_pri_gorenji_vasi,46.0854,14.1819,564
auto_breginj,46.2625,13.4275,546
auto_bukovski_vrh,46.1402,13.8884,780
auto_celje_medlog,46.2366,15.2259,244
auto_cerknisko_jezero,45.723,14.399,586
auto_davca,46.1976,14.0684,1001
auto_debeli_rtic,45.6032,13.6713,0
auto_crnomelj,45.56,15.1462,157
auto_ajdovscina_dolenje,45.8662,13.9013,83
auto_gacnik,46.6178,15.6838,292
auto_godnje,45.7547,13.8433,320
auto_gornji_grad,46.2987,14.8063,428
auto_hočko_pohorje,46.4919,15.5875,585
auto_hrastnik,46.1439,15.0833,290
auto_idrija_cistilna_naprava,46.0112,14.0291,325
auto_ilirska_bistrica,45.5531,14.2355,415
auto_iskrba,45.5612,14.858,532
auto_jeronim,46.2668,14.9481,760
auto_jeruzalem,46.4759,16.188,335
auto_jezersko,46.405,14.5146,894
auto_kamniska_bistrica,46.3087,14.6034,549
auto_kanin,46.3581,13.4744,2260
auto_kocevje,45.6458,14.8496,467
auto_koper_kapetanija,45.5481,13.7246,4
auto_goricko_krajinski_park,46.8359,16.0307,415
auto_kranj,46.2477,14.3647,403
auto_kredarica,46.3787,13.8489,2514
auto_krn,46.238,13.658,918
auto_krvavec,46.2974,14.5333,1740
auto_kubed,45.52,13.8689,234
auto_kum,46.0879,15.0732,1211
auto_cerklje_letalisce,45.901,15.5161,154
auto_maribor_slivnica,46.4797,15.6818,264
auto_ljubljana_brnik,46.2114,14.4784,364
auto_lesce,46.362,14.1718,509
auto_portoroz_secovlje,45.4753,13.616,2
auto_lisca,46.0678,15.2849,947
auto_litija_grbin,46.0651,14.8185,272
auto_ljubljana_bezigrad,46.0655,14.5124,299
auto_logatec,45.9077,14.2032,486
auto_koper_luka,45.5645,13.7448,-2
auto_maribor_vrbanski_plato,46.5678,15.626,279
auto_marinca_vas,45.8719,14.8178,272
auto_metlika,45.6442,15.3201,210
auto_mežica,46.5296,14.8596,469
auto_miklavz_na_gorjancih,45.775,15.3199,959
auto_murska_sobota,46.6521,16.1913,188
auto_nanos,45.7714,14.0536,1242
auto_nova_gorica,45.9556,13.6524,113
auto_nova_vas_bloke,45.7689,14.5088,718
auto_novo_mesto,45.8018,15.1773,220
auto_osilnica,45.5314,14.6915,331
auto_otlica,45.9377,13.9116,965
auto_skocjan,45.6638,13.9931,420
auto_pasja_ravan,46.0979,14.2282,1019
auto_planina_pod_golico,46.4672,14.0525,957
auto_podcetrtek_atomske_toplice,46.1547,15.6083,202
auto_podnanos,45.8045,13.9659,153
auto_postojna,45.7722,14.1973,538
auto_predel,46.4183,13.5783,1155
auto_ptuj,46.4197,15.8492,222
auto_radegunda,46.3661,14.933,794
auto_ratece,46.4971,13.7129,864
auto_ratitovec,46.2362,14.0902,1639
auto_rogaska_slatina,46.2409,15.6439,288
auto_rogla,46.453,15.3315,1495
auto_rudno_polje,46.3463,13.9235,1344
auto_sevno,45.9821,14.9236,556
auto_slavnik,45.5336,13.976,1020
auto_slovenske_konjice,46.3433,15.4367,328
auto_trije_kralji_na_pohorju,46.4399,15.4567,1230
auto_sviscaki,45.5756,14.3988,1302
auto_sebreljski_vrh,46.0629,13.9113,1066
auto_slovenj_gradec,46.4896,15.1112,455
auto_tatre,45.5989,14.0875,748
auto_tolmin_volce,46.1777,13.718,187
auto_topol,46.0941,14.3713,695
auto_trbovlje,46.1575,15.054,284
auto_trebnje,45.911,15.0072,277
auto_trojane_limovce,46.1984,14.9113,673
auto_trzaski_zaliv,45.6016,13.5352,0
auto_urslja_gora,46.4849,14.9634,1696
auto_vedrijan,46.0131,13.541,231
auto_velenje,46.3603,15.1119,410
auto_velike_lasce,45.831,14.6427,528
auto_vogel,46.2594,13.8396,1515
auto_vrhnika,45.966,14.2717,310
auto_vrsic,46.4328,13.7478,1684
auto_zadlog,45.9395,14.0023,716
auto_zelenica,46.4289,14.233,1534
auto_zgornja_kapla,46.6434,15.3501,722
auto_zgornja_radovna,46.424,13.9352,777
auto_zgornja_sorica,46.2221,14.0286,846
obs_nova_gorica,45.8958,13.6289,55.0
obs_celje,46.2447,15.2525,244.0
obs_crnomelj,45.5603,15.1508,157.0
obs_katarina,46.0933,14.3756,660
obs_kocevje,45.6453,14.8542,467.0
obs_kredarica,46.3794,13.8539,2514
obs_cerklje_letalisce,45.8936,15.525,154.0
obs_maribor_slivnica,46.48,15.6869,264.0
obs_ljubljana_brnik,46.2178,14.4775,364.0
obs_lesce,46.37,14.18,509.0
obs_portoroz_secovlje,45.4756,13.6206,2.0
obs_lisca,46.0681,15.2897,947
obs_ljubljana_bezigrad,46.0658,14.5172,299.0
obs_murska_sobota,46.6525,16.1961,188.0
obs_novo_mesto,45.8019,15.1822,220.0
obs_postojna,45.7664,14.1975,533.0
obs_ratece,46.4975,13.7175,864.0
obs_slovenj_gradec,46.49,15.1161,455.0
obs_vogel,46.2639,13.8456,1535
obs_vojsko,46.0253,13.9078,1067
